,season,month,holiday,day_of_week,workingday,weather,temp,atemp,humidity,windspeed,count
0,1,2,0,4,1,1,2,6,56.2083,0.194037,3830
1,1,12,0,4,1,2,1,3,65.2917,0.350133,2114
2,2,6,0,4,1,2,36,37,56.8333,0.149883,915
3,1,2,0,1,1,1,8,12,49.0833,0.268033,4322
4,2,5,0,0,0,1,28,29,69.7083,0.215171,6591
5,3,8,0,2,1,1,25,26,54.8333,0.125008,5204
6,4,11,0,4,1,1,3,8,55.5652,0.115522,5323
7,3,9,1,1,0,2,27,28,79.0417,0.212696,3351
8,1,12,0,4,1,2,12,16,75.75,0.047275,7258
9,2,6,0,2,1,2,26,27,83.3333,0.214546,4972
10,2,5,0,0,0,2,13,17,76.2083,0.106354,3351
11,1,3,0,5,1,2,5,8,64.9565,0.23297,1977
12,1,1,0,0,0,1,-6,-4,43.4167,0.36195,822
13,1,12,0,6,0,1,11,15,61.5833,0.220154,2485
14,2,6,0,5,1,1,26,27,46.7917,0.175383,7736
15,1,1,0,3,1,2,-8,-3,41.4583,0.1847,2368
16,3,6,0,4,1,1,29,29,43.4167,0.185312,5515
17,2,5,0,4,1,1,17,20,55.2083,0.314063,6572
18,3,9,0,6,0,2,16,19,71.8333,0.189675,4511
19,2,5,0,1,1,2,23,25,81.125,0.233204,4359
20,1,3,0,2,1,1,2,6,53.5,0.216425,1851
21,3,6,0,3,1,1,29,29,36,0.271775,1430
22,3,8,0,1,1,1,29,29,47,0.27675,818
23,1,2,0,0,0,2,3,6,51.5833,0.253112,7766
24,2,6,0,6,0,1,31,32,65.4583,0.15485,4966
25,1,3,0,6,0,1,3,6,35.0417,0.22575,4118
26,3,8,0,6,0,1,35,36,61.3333,0.257458,3569
27,1,2,0,2,1,1,7,12,49.625,0.147379,4375
28,1,2,0,0,0,1,3,6,41,0.205229,3389
29,1,2,0,4,1,1,12,16,50.5,0.230104,2475
30,1,12,0,0,0,1,2,7,68.1304,0.155091,754
31,4,12,0,2,1,1,3,8,59,0.14055,3523
32,2,4,0,5,1,2,6,9,72.9583,0.219521,1683
33,1,12,0,6,0,1,2,4,44.125,0.407346,1749
34,3,7,0,4,1,1,37,37,45.7917,0.194029,6241
35,4,10,0,1,1,1,19,21,57.9583,0.175379,4570
36,1,1,0,1,1,1,-9,-4,49.1739,0.15833,1416
37,4,11,1,5,0,1,5,8,44.625,0.314675,8872
38,3,7,0,4,1,1,34,34,60.0417,0.165429,6591
39,1,1,0,6,0,1,5,10,54.3333,0.210829,4023
40,2,5,0,0,0,2,20,23,86.7083,0.152979,4553
41,2,5,0,3,1,1,25,27,69.7917,0.122512,2180
42,3,7,0,6,0,1,39,40,49.2083,0.163554,4840
43,2,5,0,2,1,2,22,24,68.5833,0.296029,360
44,3,6,0,6,0,1,29,30,48.3333,0.209571,5202
45,2,5,0,3,1,2,21,24,74.4167,0.216412,4717
46,2,5,0,4,1,1,28,29,49.2917,0.195279,7338
47,4,11,0,1,1,1,10,14,75.875,0.057225,4035
48,4,11,0,6,0,1,3,5,40.4583,0.376871,2277
49,3,8,0,5,1,1,30,30,63.0833,0.184696,4866
50,2,4,0,2,1,2,17,20,73.9167,0.274879,2034
51,4,10,0,3,1,1,22,24,63.625,0.072779,7693
52,4,12,0,1,1,1,2,7,63.75,0.172896,3403
53,1,2,0,0,0,1,3,6,40.7826,0.223235,1812
54,4,10,0,5,1,1,12,16,57.4167,0.221396,4304
55,1,2,0,0,0,2,2,6,68.7917,0.175996,2947
56,1,2,0,6,0,1,3,7,53.7917,0.186571,1969
57,3,8,0,2,1,1,26,27,67.375,0.072771,7006
58,3,7,0,3,1,1,34,33,40.2917,0.183463,4656
59,1,1,0,4,1,2,1,5,53.8333,0.195904,1927
60,1,1,0,1,1,2,-1,5,70.1667,0.0989,2376
61,1,3,0,3,1,1,6,9,44.9583,0.307833,2134
62,3,7,0,4,1,1,28,29,47.625,0.240667,5084
63,2,3,0,3,1,2,7,10,83.9565,0.234261,2121
64,1,2,0,5,1,1,7,11,63.4583,0.205846,4154
65,2,5,0,6,0,1,23,25,45.625,0.083975,8294
66,3,7,0,4,1,1,32,32,65.125,0.1592,4592
67,4,12,0,3,1,2,4,8,53.8333,0.162937,5319
68,1,3,0,4,1,1,-3,2,31.8333,0.225754,1685
69,2,4,0,2,1,2,17,20,66.5833,0.157971,3204
70,3,8,0,4,1,1,32,34,65.9583,0.129354,7261
71,2,6,0,2,1,1,28,30,69,0.148017,6825
72,4,11,0,3,1,2,4,6,54.75,0.304108,5035
73,1,1,0,2,1,1,-2,2,59.0435,0.160296,1562
74,4,10,0,5,1,2,19,22,80.7083,0.132467,7444
75,4,9,0,5,1,2,24,26,69,0.164179,3919
76,3,8,0,4,1,1,29,29,63.5833,0.084596,7765
77,3,6,0,3,1,1,31,33,70.75,0.172262,4507
78,1,3,0,1,1,1,1,4,55.1304,0.341352,7124
79,4,12,0,1,1,1,0,6,67.0833,0.06345,3310
80,4,10,0,3,1,1,19,22,64.7917,0.17725,4826
81,1,1,0,3,1,1,4,6,44.3333,0.415429,3376
82,4,10,0,4,1,1,12,16,46.3333,0.181596,7570
83,1,2,0,0,0,1,7,11,68,0.125248,2402
84,4,12,0,3,1,1,6,11,62.5417,0.184092,5267
85,3,9,0,4,1,2,21,24,70.9167,0.271146,3659
86,2,4,1,5,0,1,13,17,67.125,0.226375,3126
87,3,8,0,6,0,2,28,30,72.9583,0.211454,10045
88,3,9,0,2,1,1,31,32,75.5,0.236321,6864
89,3,8,0,3,1,2,31,32,65.75,0.135583,3574
90,1,2,0,6,0,2,0,4,92.9167,0.161079,1005
91,3,8,0,3,1,1,26,28,59.7917,0.083333,5058
92,4,11,0,6,0,2,7,9,49.125,0.270529,5138
93,2,6,0,6,0,1,25,26,45.625,0.123142,5342
94,1,2,0,4,1,2,5,10,75.2917,0.091425,3005
95,1,2,0,5,1,1,-3,2,50.6364,0.10855,1746
96,1,1,1,1,0,2,-4,0,53.75,0.194017,1000
97,3,6,0,0,0,1,32,31,47.9167,0.145525,6891
98,3,7,0,2,1,1,32,33,59.0417,0.126258,4665
99,1,12,0,6,0,2,1,4,75.2917,0.124383,1341
100,4,12,0,5,1,2,9,12,50.0417,0.260575,7557
101,1,1,0,6,0,2,7,12,80.5833,0.160446,985
102,2,4,0,3,1,2,14,18,56.9167,0.167912,4367
103,4,12,0,6,0,1,5,10,65.0417,0.10635,5047
104,1,3,0,4,1,1,20,23,57.9583,0.149883,6192
105,1,3,0,3,1,2,8,12,77.6522,0.203117,2192
106,4,12,0,2,1,3,14,18,94.9583,0.232583,2594
107,1,2,0,6,0,3,-1,2,73.125,0.289796,2169
108,1,3,0,2,1,1,3,8,42.0833,0.12065,2133
109,1,12,0,3,1,1,4,7,50.3913,0.293961,2302
110,2,4,0,4,1,2,24,25,70.0833,0.320908,4058
111,4,10,0,5,1,2,20,22,71.625,0.223883,3644
112,4,11,1,4,0,1,6,11,58.0417,0.052871,8223
113,4,12,0,3,1,2,5,10,66.375,0.060958,3740
114,2,5,0,0,0,1,27,28,81.875,0.213938,4788
115,1,1,0,2,1,1,10,13,41.6667,0.261817,4509
116,3,6,0,6,0,1,31,30,53.4583,0.179721,7458
117,3,7,0,5,1,1,27,28,59.125,0.182833,5538
118,1,3,0,6,0,2,11,15,62.125,0.161079,4066
119,3,8,0,2,1,2,31,33,70.375,0.116908,7273
120,2,3,0,6,0,1,2,5,39.4167,0.209571,2496
121,1,2,0,4,1,2,10,14,67.2917,0.187187,3761
122,3,7,0,0,0,1,30,31,62.375,0.170396,6597
123,2,3,0,0,0,2,1,5,49.3913,0.1843,1693
124,4,10,0,0,0,2,7,11,79.1667,0.222013,2918
125,4,12,0,4,1,1,2,5,58,0.240058,7938
126,1,1,0,5,1,1,-5,1,53.7826,0.126548,6079
127,1,3,0,1,1,1,0,4,50.625,0.228858,8859
128,4,10,1,1,0,2,9,13,70.9583,0.189679,5478
129,3,8,0,5,1,1,30,30,41.5,0.125621,4905
130,2,4,0,0,0,1,9,13,48,0.182213,3249
131,2,3,0,5,1,2,23,25,69.4167,0.1163,8362
132,3,7,0,2,1,1,32,34,65.5,0.211454,7592
133,4,9,0,1,1,2,26,26,84.8333,0.1107,4630
134,3,8,0,0,0,1,32,34,75.2917,0.201487,3785
135,1,3,0,2,1,1,21,23,61.75,0.23695,5847
136,4,10,0,6,0,3,1,3,88.25,0.351371,627
137,3,9,0,4,1,2,29,30,81.0417,0.142421,6203
138,2,5,0,5,1,2,17,20,86.3333,0.179725,9696
139,4,12,0,6,0,1,2,6,50.75,0.233221,3190
140,4,12,0,6,0,2,1,5,56.0833,0.243167,2739
141,4,11,0,1,1,1,5,10,53.5417,0.04665,5087
142,4,11,0,2,1,1,3,7,56.7083,0.173513,5686
143,4,12,0,5,1,1,3,8,64.2917,0.131229,5611
144,1,2,0,4,1,1,-6,-2,43.7391,0.221935,1538
145,1,3,0,4,1,1,18,22,56.75,0.441563,2060
146,1,3,0,4,1,3,10,13,0,0.261877,623
147,1,3,0,5,1,1,19,22,52.5217,0.231017,3239
148,4,10,0,0,0,2,15,18,69.4583,0.398008,4459
149,1,3,0,6,0,2,17,21,75.5833,0.110704,7836
150,2,5,0,5,1,1,19,22,71.9583,0.125013,4917
151,4,10,0,5,1,1,13,16,53.9167,0.235092,7282
152,3,7,0,3,1,1,31,30,45,0.1648,8173
153,2,4,0,5,1,1,17,20,45.7083,0.240063,4595
154,4,10,0,2,1,1,19,22,64.1667,0.094546,7466
155,1,3,0,5,1,2,7,12,65.7083,0.144904,3194
156,1,2,0,5,1,2,-2,3,58.5217,0.127839,1708
157,3,7,0,4,1,2,36,41,69.125,0.222021,3784
158,2,6,0,4,1,1,23,25,56.7083,0.15735,7494
159,1,12,1,2,0,2,3,8,73.4783,0.168726,1013
160,4,11,0,6,0,1,10,14,64.5417,0.057846,2816
161,3,7,0,1,1,2,30,30,68.3333,0.180975,6569
162,2,4,0,6,0,1,15,18,50.3333,0.235075,5312
163,2,3,0,4,1,2,3,6,80.5833,0.243787,7352
164,4,12,0,4,1,1,5,8,52.4583,0.220158,3727
165,1,1,0,3,1,2,2,7,84.75,0.131221,2177
166,3,7,0,5,1,1,31,30,39.625,0.102608,5362
167,2,4,0,1,1,1,17,21,54.25,0.163567,3429
168,1,1,0,2,1,2,-1,4,86.1667,0.146775,683
169,1,1,0,4,1,1,-3,1,49.75,0.220158,7999
170,4,11,0,2,1,2,18,21,68.875,0.199633,4195
171,1,2,0,1,1,1,-1,3,41.125,0.167283,3422
172,3,7,0,5,1,1,38,42,58.0417,0.1331,3387
173,2,4,0,4,1,1,10,13,46.625,0.290429,5409
174,4,12,0,2,1,2,9,14,59.5417,0.061571,3750
175,1,1,0,0,0,2,-5,-1,79.625,0.199638,1977
176,1,2,0,2,1,1,2,5,31.4348,0.291374,1815
177,4,10,0,4,1,2,18,21,72.8333,0.236937,7509
178,3,7,0,6,0,1,31,31,60.9167,0.167912,5336
179,1,1,0,0,0,1,-4,-1,41.9167,0.251258,2311
180,1,1,0,3,1,1,-4,-1,59.9545,0.304627,1162
181,2,3,0,3,1,2,4,8,64.6667,0.172888,1536
182,2,6,0,0,0,1,23,25,49.3333,0.184087,7641
183,2,6,0,2,1,2,19,22,61.3333,0.209575,7001
184,2,5,0,6,0,1,26,28,72.9583,0.230092,4758
185,2,4,0,2,1,1,23,27,39.0417,0.273629,6691
186,4,9,0,4,1,2,26,27,69.0833,0.134342,7393
187,4,11,0,1,1,1,17,20,74.3043,0.142122,3867
188,4,10,0,6,0,2,11,15,75.375,0.292296,2429
189,3,8,0,5,1,2,29,30,61.5,0.072146,7582
190,3,8,0,1,1,1,29,30,73.0417,0.128733,6917
191,4,11,0,5,1,1,7,11,52.4583,0.171025,5698
192,3,6,0,4,1,2,31,33,70.3333,0.238804,4790
193,2,5,0,1,1,2,20,23,73,0.183454,4401
194,1,2,0,6,0,1,10,14,18.7917,0.507463,1635
195,1,2,0,2,1,2,-3,4,82.9565,0.053213,1360
196,3,8,0,3,1,2,32,34,67.2917,0.1107,7534
197,3,9,0,6,0,1,27,29,71.6667,0.185325,4484
198,1,1,1,1,0,1,2,5,38.1304,0.329665,6801
199,1,2,0,3,1,2,1,6,72.2917,0.133721,2802
200,2,4,0,4,1,1,12,16,37.4167,0.219529,6457
201,4,10,0,1,1,3,13,17,88,0.3582,22
202,1,1,0,5,1,1,2,5,50.75,0.378108,8961
203,2,4,0,3,1,2,24,25,83.5417,0.3122,3872
204,2,3,0,0,0,2,13,17,88.0833,0.220775,4996
205,3,6,0,4,1,1,36,36,56.7917,0.118787,5905
206,2,6,0,5,1,1,25,27,58.9583,0.176617,7665
207,2,4,0,3,1,1,10,13,47.0833,0.263063,2808
208,3,8,0,5,1,1,33,32,58.75,0.168533,7350
209,4,12,0,5,1,1,5,10,62.5833,0.100754,3940
210,4,10,0,4,1,2,15,18,81.2917,0.197763,2659
211,2,6,0,1,1,2,30,31,58.7917,0.207713,6664
212,3,9,0,2,1,2,20,23,88.125,0.134954,3641
213,4,11,0,6,0,1,9,13,68.1667,0.068421,3068
214,1,3,0,5,1,2,1,5,61.0417,0.203346,1944
215,1,1,0,1,1,1,2,6,40.0833,0.215792,3624
216,4,10,0,6,0,1,10,14,49.4583,0.146142,7109
217,2,5,0,3,1,1,21,23,79.7083,0.138058,6169
218,1,3,0,0,0,1,8,12,47.6957,0.222587,4911
219,3,6,0,1,1,1,30,30,50.4167,0.300383,6779
220,4,10,0,4,1,2,22,24,89.6667,0.141787,2913
221,2,5,0,1,1,1,21,24,78.7917,0.126871,3958
222,1,3,0,1,1,1,19,23,72.875,0.162317,6153
223,4,10,0,2,1,3,22,23,87.1667,0.104475,4639
224,4,11,0,3,1,1,10,15,75.8333,0.062196,4109
225,4,10,0,0,0,1,14,18,51,0.166054,6824
226,1,1,0,6,0,2,-4,0,83.125,0.222642,1301
227,2,6,0,5,1,2,26,27,75.5417,0.237563,4127
228,4,10,0,3,1,2,16,19,72.0417,0.148642,3894
229,2,4,0,5,1,2,4,7,68.625,0.258708,2227
230,3,9,0,2,1,3,19,21,88.6957,0.343943,2710
231,3,8,0,4,1,1,30,30,51.9167,0.141796,7605
232,1,1,0,0,0,1,-1,5,72.2174,0.073983,1096
233,4,10,0,3,1,2,8,12,66.6667,0.166667,5566
234,3,9,0,2,1,1,26,27,71.25,0.141804,4763
235,1,12,0,5,1,2,6,8,55.6667,0.374383,8420
236,3,7,0,2,1,1,37,37,50.5833,0.114429,6786
237,4,11,0,3,1,1,5,9,61.3333,0.271158,3613
238,4,11,0,2,1,1,11,15,72.1667,0.069038,4205
239,4,12,0,6,0,2,4,9,80.6667,0.059704,5191
240,2,4,0,0,0,1,14,17,58.7083,0.116908,2358
241,3,7,0,5,1,2,31,31,48.5833,0.08085,7499
242,1,12,0,5,1,1,5,9,63.6667,0.134337,2999
243,2,6,0,5,1,1,33,33,60.5,0.140554,4586
244,3,8,0,0,0,2,25,27,71.1667,0.08645,4549
245,3,7,0,4,1,1,30,30,52.9583,0.146775,7446
246,4,11,0,3,1,1,4,7,50.625,0.210821,5260
247,3,8,0,2,1,1,31,31,62,0.190925,2779
248,2,4,0,4,1,1,14,18,54.0417,0.1107,3267
249,4,11,0,3,1,1,9,14,71.875,0.082092,4186
250,2,5,0,5,1,1,28,29,65.375,0.240679,4679
251,1,2,0,3,1,1,15,18,50.7917,0.189067,4579
252,4,12,0,2,1,1,11,15,66.625,0.221404,5557
253,2,6,0,6,0,1,30,30,43.7083,0.144287,7498
254,2,6,0,3,1,1,24,26,47.1667,0.167912,5180
255,2,4,0,1,1,1,16,19,31.75,0.358196,5585
256,2,3,0,2,1,1,13,17,62.4583,0.22575,2703
257,2,3,0,3,1,2,18,21,82.125,0.089558,1346
258,1,1,0,1,1,1,-5,-1,48.2917,0.223267,1321
259,4,12,0,5,1,2,5,9,76.4167,0.1306,5008
260,4,11,0,4,1,2,7,9,57.5833,0.305362,3053
261,3,7,0,6,0,1,33,33,61.3333,0.15735,6685
262,3,6,0,3,1,1,31,30,49.7917,0.261821,5225
263,2,6,0,3,1,1,26,28,58.2083,0.343279,7421
264,4,10,0,1,1,2,18,21,64.9167,0.090804,6778
265,3,8,0,0,0,1,33,35,65.25,0.290421,5464
266,1,1,0,4,1,1,-2,4,51.8261,0.089565,1606
267,3,7,0,0,0,1,30,31,60.4167,0.245033,5302
268,3,7,0,5,1,1,34,35,59.4583,0.152992,6904
269,2,4,0,3,1,1,19,23,46.9583,0.180975,2204
270,3,9,0,1,1,2,20,22,69,0.151742,4539
271,4,11,0,2,1,1,10,14,68.375,0.135571,4068
272,3,8,0,1,1,1,30,31,54.5417,0.136212,6883
273,1,3,0,4,1,1,16,19,61.5417,0.226987,4990
274,1,2,0,2,1,1,-1,1,53.7917,0.36195,1530
275,3,9,0,1,1,2,22,24,73.4583,0.151742,6869
276,4,11,0,5,1,2,10,14,62.25,0.271779,4046
277,3,8,0,1,1,2,25,27,73.4167,0.129979,2250
278,2,6,0,0,0,1,29,30,74.7917,0.163567,4460
279,1,3,0,3,1,2,4,7,77.5417,0.22015,1891
280,2,5,0,4,1,1,14,17,44.4167,0.295392,4433
281,1,2,0,3,1,2,-7,-2,49.4783,0.188839,1605
282,1,1,0,3,1,1,-1,3,43.6957,0.1869,1600
283,1,2,0,4,1,1,-3,0,43.7826,0.277752,1550
284,2,4,0,2,1,1,11,15,45.4167,0.249383,5633
285,4,10,0,6,0,1,18,21,70.125,0.045404,5409
286,2,4,0,0,0,2,12,16,85.75,0.146767,2895
287,2,6,0,0,0,1,22,25,59.875,0.144904,6978
288,3,7,1,3,0,1,35,35,53.875,0.13495,7403
289,3,8,0,4,1,2,28,30,77.1667,0.210833,3542
290,1,2,0,6,0,2,2,6,77.9583,0.121896,7389
291,1,1,0,2,1,1,7,11,83.5833,0.123767,4339
292,4,10,0,2,1,1,15,18,55.8333,0.182221,7534
293,2,5,0,6,0,1,29,29,73.25,0.198992,6536
294,1,1,0,6,0,1,10,14,53.1667,0.174758,4521
295,2,3,0,4,1,1,16,19,43.9167,0.31965,6133
296,3,7,0,3,1,1,30,32,74.3333,0.149883,4629
297,2,3,0,6,0,2,12,16,73.8333,0.250617,6235
298,4,10,0,1,1,1,16,19,56.8333,0.081483,7058
299,3,9,0,0,0,1,17,20,69.5,0.178483,4274
300,2,4,0,6,0,2,9,13,48.9583,0.129975,4220
301,4,12,0,6,0,2,9,14,91.125,0.101379,5582
302,2,5,0,0,0,2,20,23,74,0.149879,6359
303,3,7,0,3,1,1,33,36,70.7083,0.113817,4332
304,4,11,0,2,1,2,3,7,78.6667,0.237562,3959
305,1,3,0,0,0,1,6,10,47.375,0.207721,2471
306,3,9,0,6,0,1,26,27,64.6667,0.283583,8395
307,1,2,0,6,0,1,-1,4,54.4167,0.203367,1472
308,2,5,0,6,0,2,18,21,92.25,0.13495,3409
309,1,1,0,0,0,1,6,10,46.5,0.191542,3425
310,4,10,0,6,0,1,16,19,57.2917,0.117537,8090
311,3,9,0,4,1,3,25,24,93.9565,0.192748,1842
312,4,9,0,0,0,1,18,22,58.3333,0.134958,6889
313,1,2,1,1,0,1,3,6,50.7826,0.229083,3129
314,4,11,0,0,0,2,14,18,68.4583,0.18595,3520
315,3,7,0,2,1,1,35,36,55.9167,0.200254,4258
316,2,5,0,4,1,2,20,23,76.8333,0.133696,6421
317,4,11,0,0,0,1,7,10,69.2917,0.227612,4669
318,2,5,0,2,1,2,24,25,65.9583,0.156096,5740
319,3,6,0,6,0,1,33,32,60.125,0.161071,5687
320,2,3,0,6,0,2,17,20,88.5417,0.192783,3372
321,2,4,0,4,1,2,16,19,75.6667,0.176625,5026
322,2,6,0,2,1,1,30,30,59.7917,0.187808,4833
323,2,6,0,3,1,1,20,23,61.125,0.077125,7055
324,3,9,0,6,0,2,32,33,63.8333,0.113187,6140
325,4,12,0,1,1,1,14,18,76.75,0.082721,6234
326,2,3,0,3,1,1,16,19,48.125,0.291671,5698
327,4,11,0,4,1,1,11,15,70.2083,0.136817,8839
328,3,9,0,4,1,1,19,23,61.8333,0.118167,7720
329,2,4,0,3,1,2,11,15,81.9167,0.250617,2162
330,1,2,0,2,1,1,-4,1,57.7778,0.195683,1450
331,2,5,0,5,1,1,28,29,74.7083,0.14055,6734
332,1,1,0,2,1,1,4,9,64.6522,0.187552,3598
333,1,1,0,6,0,1,-4,1,45.75,0.187183,2493
334,2,4,0,5,1,2,6,9,83.625,0.226992,1471
335,3,7,0,2,1,1,30,31,70.4167,0.165425,7216
336,2,5,0,1,1,1,19,22,58.875,0.176,4362
337,3,6,0,1,1,2,28,29,65.8333,0.107588,4708
338,2,4,0,4,1,1,14,18,40.7083,0.325258,4189
339,3,6,0,4,1,1,32,32,42.25,0.17165,2264
340,2,4,0,3,1,1,15,19,42.7917,0.118792,6196
341,1,12,0,3,1,2,12,16,85.8333,0.2214,8509
342,2,6,0,0,0,1,31,31,53.8333,0.133721,6598
343,2,5,0,1,1,2,25,26,81,0.233842,4274
344,4,9,0,6,0,1,19,22,54.2917,0.227604,5259
345,1,1,0,5,1,2,-3,2,49.8696,0.168726,1510
346,4,9,0,0,0,2,25,25,84.5,0.050379,5010
347,3,8,0,6,0,2,27,28,71.2917,0.244408,6053
348,3,8,0,5,1,1,29,31,76.125,0.083962,4661
349,2,4,0,1,1,1,12,16,50.4348,0.312139,5936
350,1,2,0,1,1,2,11,14,87.6364,0.289686,1446
351,3,8,0,0,0,1,30,32,77,0.248754,3873
352,4,12,0,4,1,1,4,8,48.5833,0.174129,5532
353,3,8,0,3,1,1,27,28,67.7083,0.070283,7375
354,3,7,0,6,0,1,38,40,50,0.131221,3285
355,4,11,0,3,1,1,3,7,55.2083,0.199625,5495
356,4,10,0,3,1,3,19,22,90.625,0.24815,2416
357,1,2,0,5,1,2,11,15,73.75,0.237567,3487
358,1,1,0,1,1,1,-3,1,43.7273,0.248309,1349
359,4,12,0,1,1,2,10,14,90.7083,0.098258,4585
360,1,1,0,3,1,1,4,8,64.375,0.161071,4270
361,3,8,0,6,0,2,30,32,75.5,0.22825,4294
362,1,12,0,2,1,2,5,10,76.25,0.18845,1162
363,1,2,0,3,1,1,5,9,42.3478,0.251791,2115
364,4,12,0,0,0,2,7,12,82.3333,0.124379,4649
365,3,8,0,0,0,2,28,28,81.75,0.222633,8730
366,1,1,0,3,1,2,3,8,74.1739,0.208317,1650
367,2,6,0,6,0,1,29,30,67.0417,0.119408,5119
368,3,8,0,3,1,1,31,31,57.5417,0.143667,4694
369,4,10,0,4,1,1,15,18,63.625,0.422275,4195
370,3,8,0,2,1,1,29,30,57.8333,0.236329,4725
371,3,9,0,0,0,2,29,30,81.5,0.064071,5810
372,3,7,0,2,1,1,34,33,49.2083,0.126237,6660
373,4,11,0,5,1,1,9,13,64.375,0.098896,2792
374,4,10,0,2,1,2,21,23,80.875,0.143042,4563
375,4,11,0,5,1,1,8,11,54.0833,0.214558,5992
376,4,12,0,2,1,2,7,10,59.6667,0.296037,5501
377,3,7,0,2,1,2,30,31,66.75,0.151737,6290
378,2,4,0,5,1,1,14,18,40.0833,0.347633,6233
379,2,4,0,1,1,1,21,23,42.625,0.385571,3115
380,3,8,0,2,1,1,34,34,49.125,0.20585,4845
381,3,9,0,5,1,2,15,18,59.0417,0.164183,4760
382,4,12,0,0,0,1,6,11,77.5833,0.083958,3485
383,4,10,0,3,1,3,19,21,89.5217,0.243339,2424
384,3,9,0,5,1,1,29,30,73.625,0.171646,7504
385,2,4,0,0,0,1,14,17,47.9583,0.303496,3744
386,2,4,0,2,1,1,25,26,72.9167,0.3265,4400
387,2,6,0,3,1,1,34,35,62.2083,0.136817,4401
388,1,12,0,3,1,3,0,3,82.3333,0.316546,441
389,3,8,0,2,1,1,31,32,68.6667,0.169158,6784
390,1,2,0,0,0,1,3,7,56.8333,0.1418,1623
391,2,5,0,5,1,1,19,22,36.0417,0.236937,7030
392,1,12,0,4,1,1,1,6,57.4167,0.119412,2423
393,1,3,0,0,0,1,6,8,40.3333,0.334571,3423
394,3,7,0,0,0,1,37,39,55.0833,0.169171,3606
395,3,9,0,5,1,2,26,27,72.7083,0.139929,4727
396,3,8,0,3,1,1,33,32,42.4167,0.200258,4780
397,3,9,0,0,0,1,30,31,74.2083,0.206467,4940
398,1,1,0,0,0,1,8,13,69.25,0.192167,2294
399,2,4,0,4,1,1,16,20,61.25,0.065929,6565